id,name,provider,enabled,input_price,output_price,price_level,context_length,output_length,intelligence,speed,supports_image_input,supports_skill_calls,supports_structured_output,has_reasoning,supports_search,supports_temperature,supports_frequency_penalty,supports_presence_penalty,api_base,timeout
openrouter/free,OpenRouter Free,openrouter,TRUE,0,0,1,200000,20000,2,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,300
minimax/minimax-m2.5,MiniMax M2.5,openrouter,TRUE,0.3,1.2,2,204800,131072,5,3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,300
minimax/minimax-m2-her,Minimax M2 Her,openrouter,TRUE,0.3,1.2,2,65536,2048,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,300
moonshotai/kimi-k2.5,Moonshot Kimi K2.5,openrouter,TRUE,0.6,3,2,262000,64000,4,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,300
qwen/qwen3-coder-next,Qwen3 Coder Next,openrouter,TRUE,0.07,0.3,2,262144,65536,4,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,300
z-ai/glm-4.7-flash,GLM 4.7 Flash,openrouter,TRUE,0.06,0.4,1,202752,131072,3,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,300
z-ai/glm-5,GLM 5,openrouter,TRUE,0.8,2.56,3,202752,131072,5,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,300
anthropic/claude-opus-4.6,Claude Opus 4.6,openrouter,TRUE,5,25,5,1000000,8192,5,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,300
google/gemini-3-flash-preview,Gemini 3 Flash Preview,google,TRUE,0.5,3,2,1048576,65536,4,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,300
google/gemini-3-pro-preview,Gemini 3 Pro Preview,google,TRUE,2,12,4,1048576,65536,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,300
gpt-5.2,GPT-5.2,openai,TRUE,1.75,14,4,400000,128000,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,180
gpt-5.2-codex,GPT-5.2 Codex,openai,TRUE,1.75,14,4,400000,128000,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,180
gpt-5-nano,GPT-5 Nano,openai,TRUE,0.05,0.4,1,400000,128000,3,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,180
gpt-5-mini,GPT-5 Mini,openai,TRUE,0.25,2,2,400000,128000,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,180
deepseek-chat,Deepseek V3.2,deepseek,TRUE,0.28,0.42,2,128000,4096,4,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,https://api.deepseek.com,300
deepseek-reasoner,DeepSeek V3.2 Thinking,deepseek,TRUE,0.28,0.42,2,128000,32000,5,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,https://api.deepseek.com,300
grok-4,Grok 4,xai,TRUE,3,15,4,256000,4096,5,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,180
grok-4-1-fast-non-reasoning,Grok 4.1 Fast,xai,TRUE,0.2,0.5,2,2000000,4096,3,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,180
grok-4-1-fast-reasoning,Grok 4.1 Fast Reasoning,xai,TRUE,0.2,0.5,2,2000000,4096,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,180
grok-code-fast-1,Grok Code Fast 1,xai,TRUE,0.2,1.5,3,256000,4096,4,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,180
